"order_id","product_name","payment_date","amount","payment_method","transaction_id","status"
1001,"Wireless Mouse","2024-06-01","25.99","Credit Card","TXN001","Completed"
1002,"Laptop Stand","2024-06-02","45.5","PayPal","TXN002","Completed"
1003,"USB-C Cable","2024-06-03","12","Debit Card","TXN003","Pending"
1004,"Monitor","2024-06-04","199.99","Credit Card","TXN004","Completed"
1005,"Keyboard","2024-06-05","39.99","PayPal","TXN005","Failed"
1006,"Webcam","2024-06-06","59.99","Credit Card","TXN006","Completed"
1007,"Desk Lamp","2024-06-07","22.5","PayPal","TXN007","Completed"
1008,"External Hard Drive","2024-06-08","89","Debit Card","TXN008","Pending"
1009,"Mouse Pad","2024-06-09","9.99","Credit Card","TXN009","Completed"
1010,"Smartphone Stand","2024-06-10","15.75","PayPal","TXN010","Completed"
1011,"HDMI Cable","2024-06-11","8.99","Debit Card","TXN011","Failed"
1012,"Tablet Case","2024-06-12","27.49","Credit Card","TXN012","Completed"
1013,"Portable Charger","2024-06-13","34.99","PayPal","TXN013","Completed"
1014,"Wireless Earbuds","2024-06-14","79.99","Debit Card","TXN014","Pending"
1015,"Laptop Sleeve","2024-06-15","19.99","Credit Card","TXN015","Completed"
