"project_id","project_name","start_date","end_date","budget","status","team_size"
1,"Website Redesign","2024-01-10","2024-03-15","15000","Completed",5
2,"Mobile App Launch","2024-02-01","2024-06-30","30000","In Progress",8
3,"Cloud Migration","2024-03-05","2024-09-20","50000","Planned",10
4,"Marketing Campaign","2024-04-12","2024-05-30","12000","Completed",4
5,"Data Analytics Setup","2024-05-01","2024-08-15","20000","In Progress",6
6,"AI Integration","2024-06-10","2024-12-01","45000","Planned",7
7,"E-commerce Platform","2024-07-15","2024-11-30","35000","In Progress",9
8,"Security Audit","2024-08-01","2024-08-31","8000","Planned",3
9,"Customer Portal Upgrade","2024-09-05","2024-12-20","22000","Completed",6
10,"Social Media Expansion","2024-10-10","2025-01-15","18000","In Progress",5
